VocabularyEN,VovabularyCH,Category
aorta,n.主动脉,GRE
apex,n.顶点，最高点,GRE
aphorism,n.格言,GRE
apiary,n.养蜂场，蜂房,GRE
aplomb,n.沉着，镇静,GRE
apocalyptic,a.预示世界末日的；启示的,GRE
apocrypha,n.伪经，伪书,GRE
apocryphal,a.假冒的，虚假的,GRE
apogee,n.远地点,GRE
apologize,v.道歉；辩解,GRE
apoplectic,a.中风的；愤怒的,GRE
apostasy,n.背教，脱党,GRE
apostate,n.背教者；变节者,GRE
apostrophe,n.书写中撇号(’)(表示省略或所有格),GRE
apothecary,n.药剂师,GRE
appall,v.使惊骇，使恐怖,GRE
apparatus,n.仪器，设备,GRE
apparel,n.(精致的)衣服,GRE
apparition,n.幽灵，神奇的现象,GRE
appeal,v.恳求；吸引；上诉,GRE
appease,v.使平静，安抚,GRE
appellation,n.名称，称呼,GRE
appetite,n.欲望，食欲，爱好,GRE
appetizer,n.开胃品,GRE
appetizing,a.美味可口的，促进食欲的,GRE
applaud,v.鼓掌表示欢迎或赞赏,GRE
applause,n.鼓掌，喝彩,GRE
applicable,a.生效的，适合的,GRE
applicant,n.申请人,GRE
application,n.请求，申请；应用，应用程序,GRE
appoint,v.任命，指定；约会,GRE
apposite,a.适当的，恰当的,GRE
appraise,v.评价，鉴定,GRE
appreciable,a.明显的,GRE
appreciate,v.欣赏；感激,GRE
apprehend,v.逮捕；恐惧,GRE
apprehensive,a.害怕的；有眼力的,GRE
apprentice,n.学徒,GRE
apprise,v.通知，告诉,GRE
approach,v.接近，靠近；着手处理；n.方法,GRE
approbation,n.称赞，认可,GRE
appropriate,v.拨款；盗用；a.恰当的,GRE
approximate,a.大约的，估计的,GRE
apron,n.围裙,GRE
apropos,a./adv.适宜的(地)；有关,GRE
apt,a.易于…的，恰当的,GRE
aptitude,n.适宜；才能，资质,GRE
aquatic,a.水生的，水中的,GRE
aqueduct,n.引水渠；高架渠,GRE
aquifer,n.含水土层,GRE
arabesque,n.蔓藤图饰,GRE
arable,a.可耕的，适合种植的,GRE
arbiter,n.权威人士，泰斗,GRE
arbitrary,a.专横的，不理智的,GRE
arbitrate,v.仲裁，公断,GRE
arboreal,a.树木的,GRE
arboretum,n.植物园,GRE
arcane,a.神秘的，秘密的,GRE
arch,n.拱门，拱形,GRE
archaeology,n.考古学,GRE
archetype,n.原型；典型例子,GRE
archipelago,n.群岛,GRE
architect,n.建筑师,GRE
archive,n.档案室,GRE
arctic,a.北极的；极寒的,GRE
ardent,a.热心的，热烈的,GRE
arena,n.(角斗的)竞技场,GRE
argot,n.隐语，黑话,GRE
aria,n.独唱曲，咏叹调,GRE
arid,a.干旱的；枯燥的,GRE
aristocracy,n.贵族；贵族政府，贵族统治,GRE
armada,n.舰队,GRE
armistice,n.休战，停战,GRE
armory,n.军械库,GRE
aroma,n.芳香，香气,GRE
aromatic,a.芬芳的，芳香的,GRE
arouse,v.唤醒；激发,GRE
array,v.部署；n.陈列；大批,GRE
arrest,v.依法逮捕；阻止，抑制,GRE
arresting,a.显著的，引人注意的,GRE
arrhythmic,a.无节奏的；不规则的,GRE
arrogance,n.傲慢，自大,GRE
arrogant,a.傲慢的，自大的,GRE
arrogate,v.冒称具有…权利,GRE
arroyo,n.干涸的河床；小河,GRE
arsenal,n.军械库,GRE
arson,n.纵火，放火,GRE
artery,n.动脉，命脉,GRE
arthritis,n.关节炎,GRE
articulate,v.清楚说话,GRE
artifact,n.人工制品,GRE
artifacts,n.史前古器物,GRE
artifice,n.巧办法；诡计,GRE
artificial,a.人造的，假的,GRE
artistry,n.艺术技巧,GRE
artless,a.粗俗的；自然的,GRE
ascendancy,n.统治权，支配力量,GRE
ascetic,a.禁欲的；n.苦行者,GRE
ascribe,v.归功于；归咎于,GRE
aseptic,a.洁净的；无菌的,GRE
asparagus,[植]芦笋，龙须菜(可作蔬菜),GRE
aspect,n.(问题等的)方面；面貌，外表,GRE
aspen,n.白杨,GRE
asperity,n.严酷；粗鲁,GRE
aspersion,n.诽谤，中伤,GRE
asphyxiate,v.(使)无法呼吸，窒息而死,GRE
aspirant,n.有抱负者,GRE
aspiration,n.抱负，热望,GRE
aspire,v.向往，有志于,GRE
assail,v.抨击；猛攻,GRE
assault,n.突然袭击；猛袭,GRE
assay,v./n.试验，测定,GRE
assemble,v.集合，聚集,GRE
assent,v.同意，赞成,GRE
assert,v.断言，主张,GRE
assertive,a.过分自信的；有进取心的,GRE
assertiveness,n.过分自信,GRE
assess,v.确定，评定；估计…的质量,GRE
assessment,n.估计，评价,GRE
asset,n.财产；可取之处,GRE
assiduous,a.勤勉的；专心的,GRE
assimilate,v.同化；吸收,GRE
associate,a.联合的；n.合伙人；v.将人或事物联系起来,GRE
assorted,a.混杂的,GRE
assuage,v.缓和，减轻,GRE
assume,v.假定,GRE
assumption,n.设想；夺取,GRE
assure,v.向某人保证，确信,GRE
assured,a.自信的；确定的,GRE
asterisk,n.星号,GRE
asteroid,n.小行星,GRE
asthma,n.哮喘症,GRE
astound,v.使震惊,GRE
astray,a.迷路的，误入歧途的,GRE
astringent,a.止血的，收缩的；n.收缩剂，止血剂,GRE
astrolabe,n.星盘(古代星位观测仪),GRE
astrology,n.占星术；占星学,GRE
astronomical,a.庞大的,GRE
astute,a.机敏的，精明的,GRE
asunder,a./adv.分离的；化为碎片,GRE
asylum,n.避难所，庇护所,GRE
asymmetric,a.不对称的,GRE
athletics,n.运动，体育,GRE
atonal,a.(音乐)无调的,GRE
atrocious,a.残忍的，凶恶的,GRE
atrocity,n.残暴，暴行,GRE
atrophy,n.萎缩，衰退,GRE
attach,v.将某物系在(另一物)上,GRE
attain,v.达到，实现,GRE
attainment,n.成就,GRE
attenuate,v.变薄,GRE
attest,(to)v.证明,GRE
attic,n.阁楼，顶楼,GRE
attorney,n.律师,GRE
attribute,n.属性，品质；v.把…归于,GRE
attune,(to)v.使调和,GRE
auction,n.拍卖,GRE
audacious,a.大胆的；愚勇的,GRE
audible,a.听得见的,GRE
audience,n.听众，观众；读者,GRE
audit,v.审计，核对；旁听,GRE
auditorium,n.礼堂；观众席,GRE
augment,v.增大，增值,GRE
augur,n.占卜师；v.占卜,GRE
augury,n.预言，征兆，占卜,GRE
august,a.威严的，高贵的,GRE
auspices,n.资助，赞助,GRE
auspicious,a.幸运的；吉兆的,GRE
austere,a.朴素的,GRE
austerity,n.朴素，艰苦,GRE
authentic,a.真正的；法律证实的,GRE
authenticity,n.确实性，真实性,GRE
authoritarian,n.独裁主义者；极权主义者,GRE
authorization,n.授权，认可,GRE
autobiography,n.自传,GRE
autocracy,n.独裁政府,GRE
autocrat,n.独裁者,GRE
autonomous,a.自治的,GRE
autonomy,n.自治，独立,GRE
auxiliary,a.辅助的，协助的,GRE
available,a.可用的，可得到的,GRE
avalanche,n.雪崩,GRE
avant-garde,n.(艺术)先锋派,GRE
avarice,n.贪财，贪婪,GRE
avaricious,a.贪婪的，贪心的,GRE
avenge,v.为…复仇，为…报仇,GRE
aver,v.极力声明；断言；确证,GRE
averse,a.不愿的，反对的,GRE
aversion,n.嫌恶，憎恨,GRE
avert,v.避免，防止,GRE
aviary,n.大鸟笼，鸟舍,GRE
avid,a.渴望的,GRE
avoid,v.避开，躲避,GRE
avow,v.承认；公开宣称,GRE
awe,n./v.敬畏,GRE
awe-inspiring,a.令人敬畏的,GRE
awkward,a.笨拙的；难用的；不便的,GRE
awl,n.(钻皮革的)尖钻,GRE
awning,n.遮阳蓬，雨蓬,GRE
awry,a.扭曲的，走样的,GRE
axiom,n.公理；定理,GRE
axis,n.轴(常为虚构之线，如地球轴),GRE
axle,n.轮轴(连接两个车轮的轴),GRE
babble,v.胡言乱语；牙牙学语；喋喋不休,GRE
backdrop,n.(事情的)背景，背景幕布,GRE
backhanded,a.间接的；反手击球的,GRE
backset,n.倒退,GRE
bacteria,n.细菌，培养基,GRE
bacterium,n.细菌,GRE
badge,n.徽章(如校徽等),GRE
badger,n.獾；v.一再烦扰，一再要求,GRE
badinage,n.开玩笑，打趣,GRE
bail,n.保释金,GRE
bait,n.诱饵；v.逗弄；激怒,GRE
bale,n.大包裹；灾祸，不幸,GRE
baleful,a.邪恶的，恶意的,GRE
balk,n.大方木料；v.妨碍；(因困难等)不愿前进或从事某事,GRE
ballad,n.歌谣，小曲,GRE
ballast,n.(船等)压舱物,GRE
ballerina,n.芭蕾舞女演员,GRE
balloon,n.气球；v.快速增加,GRE
ballot,n./v.投票,GRE
balm,n.香油，药膏；镇痛剂,GRE
balmy,a.(气候)温和的；芳香的,GRE
ban,n.禁令,GRE
banal,a.陈腐的,GRE
band,n.带子；收音机波段,GRE
bandage,n.绷带；v.用绷带包扎,GRE
bane,n.祸根,GRE
banish,v.放逐某人,GRE
banister,n.(楼梯的)栏杆,GRE
bankrupt,a.破产的,GRE
banquet,n.宴会，盛宴,GRE
banter,n.打趣，玩笑,GRE
bar,v.禁止，阻挡；n.条，棒,GRE
barb,n.(鱼钩的)倒钩；严厉的批评,GRE
barbarous,a.野蛮的；残暴的,GRE
barbecue,n.烤肉架；烤肉,GRE
bard,n.吟游诗人,GRE
bare,v.暴露；a.赤裸的,GRE
barefaced,a.厚颜无耻的，公然的,GRE
bargain,n.交易; 物美价廉的东西；v.讨价还价,GRE
barge,n.平底货船，驳船,GRE
bark,v./n.狗吠；n.树皮,GRE
barn,n.谷仓，牲口棚,GRE
barometer,n.气压计；晴雨表,GRE
baroque,n./a.(艺术、建筑等)过分雕琢(的),GRE
barrage,n.弹幕,GRE
barren,a.不育的；贫瘠的；不结果实的,GRE
barricade,v.设栅阻挡；n.栅栏,GRE
barrier,n.路障；障碍,GRE
barter,v.易货贸易,GRE
base,a.卑鄙的,GRE
bask,v.晒太阳，取暖,GRE
baste,v.倒油脂于(烤肉上，以防烤干),GRE
batch,n.一批，一炉,GRE
bathetic,a.假作悲伤的；陈腐的,GRE
baton,n.指挥棒(指挥家用)；警棍,GRE
battalion,n.军营，军队,GRE
bauxite,n.铝土岩(产铝的矿土、石),GRE
bawdy,a.淫猥的，好色的,GRE
bazaar,n.集市，商店集中区,GRE
beacon,n.烽火；灯塔,GRE
beam,n.(房屋等)大梁；光线,GRE
bearing,n.关系，意义；方位,GRE
beat,v.心跳；搅拌,GRE
bedeck,v.装饰，修饰,GRE
bedlam,n.混乱，骚乱,GRE
befuddlement,n.迷惑不解,GRE
begrudge,v.吝啬，勉强给,GRE
beholder,n.目睹者，旁观者,GRE
behoove,v.理应，有义务,GRE
belabor,v.过分冗长地做或说；痛打,GRE
belated,a.来得太迟的,GRE
beleaguer,v.围攻；骚扰,GRE
belie,v.掩饰；证明为假,GRE
belittle,v.轻视，贬抑,GRE
bellicose,a.好战的，好斗的,GRE
belligerence,n.交战；好战性，斗争性,GRE
bellwether,n.领导者，领头羊,GRE
bench,n.法官席；长凳,GRE
bend,v.弯曲；屈服,GRE
benediction,n.祝福；祈祷,GRE
benefactor,n.行善者，捐助者,GRE
benevolent,a.善心的，仁心的,GRE
benign,a.慈祥的,GRE
benison,n.祝福，赐福,GRE
bent,n.特长，爱好；a.弯曲的,GRE
bequeath,. 遗赠,GRE
bequest,n.遗产，遗赠物,GRE
berate,v.猛烈责骂,GRE
bereft,a.被剥夺的；缺少的,GRE
beset,v.镶嵌；困扰,GRE
besiege,v.围攻，困扰,GRE
besmirch,v.诽谤,GRE
bestial,a.野兽的，残忍的,GRE
bestow,v.给予，赐赠,GRE
betray,v.背叛；暴露,GRE
betroth,v.许配，和…订婚,GRE
beverage,n.饮料,GRE
bewilder,v.迷惑，混乱,GRE
bewildering,a.令人迷惑的；费解的,GRE
bibliography,n.文献学；参考书目,GRE
bibliophile,n.爱书者，藏书家,GRE
bicker,v.为小事争吵,GRE
bid,v.命令；出价，投标,GRE
bifurcate,v.分为两支，分叉,GRE
bigot,n.(宗教、政治等的)盲信者；心胸狭窄者,GRE
bile,n.胆汁,GRE
bilingual,a.(说)两种语言的,GRE
bilk,v.躲债；骗取,GRE
billowy,a.如波浪般翻滚的,GRE
bin,n.大箱子,GRE
biosphere,n.生命层，生物圈,GRE
biped,n.二足动物,GRE
bit,n.钻头,GRE
bizarre,a.奇异的，古怪的,GRE
blade,n.刀锋，刀口,GRE
blanch,v.使变白；使(脸色)变苍白,GRE
bland,a.(人)情绪平稳的；(食物)无味的,GRE
blandishment,n.奉承，甘言劝诱,GRE
blasphemy,n.亵渎，渎神,GRE
blast,>n.一阵(大风)；冲击波；v.爆破；枯萎,GRE
blatant,a.厚颜无耻的；显眼的；炫耀的,GRE
blazon,n.纹章，装饰；v.精确描绘,GRE
bleach,v.漂白,GRE
bleak,a.寒冷的；阴沉的；阴郁的，暗淡的,GRE
blemish,v.损害；玷污；n.瑕疵，缺点,GRE
blight,n.植物枯萎病；v.使…枯萎,GRE
blighted,a.枯萎的；衰老的,GRE
bliss,n.狂喜；福佑，天赐的福,GRE
blissful,a.极幸福的,GRE
blithe,a.快乐的，无忧无虑的,GRE
blizzard,n.暴风雪,GRE
blockade,v./n.封锁,GRE
blockage,n.障碍物,GRE
blooming,a.有花的；精力旺盛的,GRE
blotch,n.(皮肤上的)红斑点；(墨水等)大斑点,GRE
blowhard,n.自吹自擂者,GRE
blue,a.忧伤的，沮丧的,GRE
blueprint,n.蓝图；方案,GRE
