VocabularyEN,VovabularyCH,Category
detrimental,adj. 有害的,TOEFL
sentimental,"adj. 感伤性的,感情脆弱的",TOEFL
horizontal,"n. 水平线,水平面,横的位置adj. 水平线的,水平的,横的n. 水平",TOEFL
pivotal,"adj. 枢轴的,关键的",TOEFL
mortal,"n. 凡人,人类adj. 不免一死的,人类的,临终的",TOEFL
immortal,"n. 不朽的人物adj. 永远的,不死的,神的",TOEFL
crystal,"n. 水晶,水晶装饰品,结晶adj. 水晶的,水晶一样的,透明的",TOEFL
brutal,"adj. 残忍的,野蛮的,不讲理的",TOEFL
dual,"adj. 双重的,双的n. 双数",TOEFL
equal,"n. 对手,匹敌,同辈adj. 相等的,平等的,胜任的,不相上下的,平静的vt. 等于,比得上",TOEFL
casual,"adj. 偶然的,不经意的,便装的n. 临时工,待命士兵",TOEFL
actual,"adj. 真实的,实际的",TOEFL
intellectual,"n. 有知识者,知识分子,凭理智做事者adj. 智力的,知性的,聪明的",TOEFL
punctual,"adj. 准时的,守时的,点状的,正确的",TOEFL
eventual,"adj. 最后的,终于的,可能的",TOEFL
mutual,"adj. 相互的,共有的",TOEFL
naval,"adj. 海军的,军舰的,有舰队的",TOEFL
rival,"n. 对手,竞争者adj. 竞争的",TOEFL
rebel,"n. 叛徒,反叛者vi. 造反,反抗,反感,抵抗,谋反adj. 造反的,反抗的",TOEFL
cancel,"n. 取消,撤消,盖销(邮票)vt. 取消,删去,抵销,盖销vi. 相互抵销",TOEFL
genteel,"adj. 有教养的,上流的,优雅的",TOEFL
parallel,"n. 平行,对比,相匹敌之物adj. 平行的,相似的vt. 与...平行,与...相似,相比,使平行",TOEFL
personnel,"n. 人员,职员",TOEFL
repel,"vt. 逐退,抵制,使厌恶,抗vi. 反抗,击退",TOEFL
impel,"vt. 推动,激励,驱使,逼迫",TOEFL
compel,"vt. 强迫,迫使",TOEFL
propel,"vt. 推进,驱使",TOEFL
apparel,"n. 衣服,装具vt. 使穿衣,装饰",TOEFL
laurel,"n. 月桂树,荣誉vt. 使戴桂冠,授予荣誉",TOEFL
counsel,"n. 商议,忠告,法律顾问vi.vt. 商议,劝告",TOEFL
hail,"n. 冰雹,致敬,招呼vt. 向...欢呼,致敬,招呼,使象下雹样落下vi. 招呼,下雹",TOEFL
frail,"adj. 脆弱的,虚弱的,意志薄弱的n. 灯心草篓",TOEFL
entail,"vt. 使必需,使蒙受,使承担,遗传给n. 限定继承权",TOEFL
curtail,"vt. 缩减,剥夺,简略",TOEFL
prevail,"vi. 获胜,流行,盛行",TOEFL
unveil,"vt. 揭开,揭幕,除去...的面纱vi. 显露,除去面纱",TOEFL
coil,"n. 卷,环绕,骚动vt. 盘绕,卷",TOEFL
recoil,"n. 畏缩,后退,后座力,反作用,弹回vi. 退却,畏缩,弹回,报应,反冲,撤退",TOEFL
foil,"n. 箔,烘托,衬托vt. 衬托,阻止,贴箔于,挫败,挡开",TOEFL
turmoil,"n. 骚动,混乱",TOEFL
spoil,"n. 战利品,赃物,次品,掠夺,奖品vt. 损坏,破坏,溺爱vi. 腐坏,掠夺",TOEFL
despoil,"vt. 夺取,掠夺",TOEFL
peril,"n. 危险,冒险vt. 置...于险境,冒险",TOEFL
tranquil,adj. 安静的,TOEFL
recall,"n. 回忆,召回,取消vt. 回想,回忆,召回,恢复,取消,撤消",TOEFL
enthrall,"vt. 迷惑,奴役,迷住",TOEFL
stall,"n. 厩,停车处,牧师职位,拖延,托辞,货摊vt. 关入厩,停顿,使陷于泥中,支吾,推托vi. 被关在厩内,陷于泥中,停止,支吾",TOEFL
forestall,"vt. 先...一步行动,占先一步,垄断,阻碍",TOEFL
install,"vt. 安装,安置,使就职",TOEFL
smell,"n. 味道,气味,嗅觉,风味,臭味,嗅vt. 闻,探出,察觉,发出...的味道vi.嗅,散发气味,发臭",TOEFL
quell,"vt. 压制,平息,减轻",TOEFL
dwell,"vi. 居住,踌躇",TOEFL
swell,"n. 增大,隆起的部分,巨浪,肿大adj. 优秀的,一流的vi. 增大,膨胀,骄傲,增强,肿胀vt. 使膨胀,使增大,使上涨,使骄傲",TOEFL
yell,"vi. 大叫,忍不住笑vt. 叫着说n. 叫声,喊声",TOEFL
bill,"n. 帐单,钞票,鸟嘴,清单,票据,法案vt. 送帐单,宣布",TOEFL
chill,"n. 寒冷,寒意,失意adj. 寒冷的,冷漠的vt. 使寒心,冷冻vi. 变冷",TOEFL
still,"n. 蒸馏室,寂静,剧照vt. vi. 蒸馏,(使)平静,(使)静止adj. 静止的,不动的,静物摄影的,不起泡的,静寂的ad. 仍然,更,静止地conj. 然而,但是",TOEFL
instill,"((英))in.stil[in'stil] vt. 1 将<思想、感情等>逐渐灌输给[某人],灌入 [脑子里] 徐徐教导[in,into]2 将<液体>一滴一滴地滴入[…中],滴注[in, into]",TOEFL
stroll,"n. 闲逛,漫步vi.vt. 闲逛,漫步",TOEFL
toll,"n. 通行费,代价,钟声vt. 征收,敲钟,引诱,勾引,鸣钟vi. 征税,鸣钟",TOEFL
lull,"n. 暂停,间歇,稍息,麻痹vt. 使平静,哄骗,使安静vi. 变平静",TOEFL
null,"adj. 无效力的,无效的,无价值的n. 零,空,零迅号",TOEFL
symbol,"n. 符号,象征,代号,信条",TOEFL
idol,"n. 偶像,崇拜物,幻象,谬论",TOEFL
extol,"vt. 颂扬,称赞,吹捧",TOEFL
hurl,"n. 用力的投掷vt. 用力投掷,愤慨地说出,丢下vi. 猛投,猛掷",TOEFL
haul,"n. 用力拖拉,拖,拖运距离,捕获物,拉vi. 拖,拉,改变方向,改变主意vt. 拖拉,拖运",TOEFL
gleeful,adj. 愉快的,TOEFL
doleful,"adj. 悲哀的,寂寞的,阴沉的",TOEFL
fateful,"adj. 宿命的,重大的,决定性的",TOEFL
grateful,"adj. 感谢的,感激的,受欢迎的",TOEFL
bashful,adj. 害羞的,TOEFL
faithful,"adj. 忠实的,详确的,可靠的n. 信徒",TOEFL
healthful,"adj. 有益健康的,使人健康的,卫生的",TOEFL
merciful,"adj. 仁慈的,慈悲的",TOEFL
pitiful,"adj. 慈悲的,可怜的,同情的",TOEFL
skillful,"adj. 熟练的,巧妙的",TOEFL
gainful,"adj. 有利益的,唯利是图的",TOEFL
scornful,adj. 轻蔑的,TOEFL
successful,"adj. 成功的,一帆风顺的,飞黄腾达的",TOEFL
doubtful,"adj. 可疑的,疑心的,不确的",TOEFL
disrespectful,"adj. 失礼的,无礼的",TOEFL
deceitful,adj. 欺诈的,TOEFL
fitful,"adj. 断断续续的,一阵阵的,间歇的",TOEFL
boastful,"adj. 自夸的,自负,喜夸耀的",TOEFL
wistful,"adj. 渴望的,想望的",TOEFL
annul,"vt. 废除,宣告无效,取消",TOEFL
foul,"adj. 污秽的,邪恶的,恶臭的,淤塞的,恶劣的vt. 弄脏,妨害,淤塞,犯规,污蔑vi. 腐烂,犯规,缠结ad. 违反规则地,不正当地n. 犯规,缠绕",TOEFL
brawl,"n. 争吵vi. 争吵,哗哗地流水",TOEFL
sprawl,"vi. 伸开手足躺,爬行,蔓生,蔓延vt. 懒散地伸开,使蔓生,潦草地书写n. 伸开手足的姿势",TOEFL
fowl,"n. 鸟,飞禽,家禽vi. 打鸟",TOEFL
howl,"n. 吠声,号叫vi. 狂吠,咆哮,呼啸vt. 狂喊着说",TOEFL
gleam,"n. 微弱的闪光,瞬息的一现vi. 闪烁,隐约地闪现vt. 使发微光,使闪烁",TOEFL
foam,"n. 泡沫,水沫,泡沫材料vi. 起泡沫,吐白沫vt. 使起泡沫",TOEFL
cram,"vt. 塞满,填满,猛吃vi. 贪吃n. 塞满",TOEFL
diagram,n. 图表,TOEFL
deem,"vt.vi. 认为,相信",TOEFL
redeem,"vt. 赎回,挽回,恢复,补偿,履行,偿还",TOEFL
teem,"vi. 充满,富于,涌现,倾注vt. 倒出",TOEFL
esteem,"n. 尊敬,尊重vt. 尊敬,尊重,认为",TOEFL
gem,"n. 珠宝,宝石,珍贵之物vt. 饰以宝石",TOEFL
stem,"n. 茎,柄,堵塞物,血统,船首vt. 摘掉茎,装柄于,逆行,堵住,阻止vi. 堵住,逆行",TOEFL
aim,"n. 目标,瞄准vi. 对准目标,打算vt. 瞄准",TOEFL
acclaim,"n. 喝彩,欢呼,赞同vt.vi. 欢呼,喝彩,称赞",TOEFL
declaim,"vi.vt. 巧辩,演讲,朗读",TOEFL
proclaim,"vt. 宣布,公告,赞扬,表明,宣言",TOEFL
disclaim,"vt.vi. 放弃,弃权,拒绝",TOEFL
exclaim,"vt.vi. 大叫,呼喊,大声叫",TOEFL
maim,"vt. 使残废,使不能工作,使伤残",TOEFL
dim,"adj. 暗淡的,模糊的vt. 使暗淡",TOEFL
whim,"n. 一时的兴致,幻想,反复无常,怪念头",TOEFL
skim,"vt. 撇萚∧?略读,掠过vi. 擦过,浏览n. 脱脂乳,擦过adj. 撇萚∧说?",TOEFL
slim,"adj. 瘦的,苗条的,无价值的,稀少的vi. 变苗条vt. 使苗条",TOEFL
rim,"n. 边,轮缘,框vt. 镶边,为...装边vi. 形成边状",TOEFL
brim,"n. 边,边缘,(河)边vt. 注满,使满溢vi. 满溢",TOEFL
grim,"adj. 冷酷的,残忍的,坚强的,讨厌的,可怕的",TOEFL
maxim,"n. 格言,座右铭",TOEFL
embalm,"vt. 以药物防腐,铭记于心,使不朽",TOEFL
realm,"n. 王国,领土,领域",TOEFL
boredom,"n. 厌烦,厌倦,令人厌烦的事物",TOEFL
kingdom,"n. 王国,国度,领域",TOEFL
gloom,"n. 忧沉,幽暗vi. 变忧沉,变黑暗vt. 使黑暗,使忧郁",TOEFL
ransom,"n. 赎金,赎身,勒索,敲诈,赎回vt. 赎,赎身,赎回,勒索赎金",TOEFL
atom,"n. 原子,微粒,微量",TOEFL
symptom,"n. 症状,征候,征兆",TOEFL
custom,"n. 习惯,风俗,海关v. 定制n. 自定义",TOEFL
disarm,"vt. 解除武装,回复平常的编制,缓和vi. 放下武器",TOEFL
swarm,"n. 群,大群,蜂群vi. 群集,聚集一块,云集,爬树vt. 挤满,爬(树)",TOEFL
firm,"n. 公司,商号adj. 坚定的,坚强的,牢固的,结实的,坚硬的,确定的,严格的,坚挺的vt. 使牢固,使坚定vi. 变稳固,变坚实ad. 稳固地",TOEFL
affirm,"vt.vi. 断言,确认,肯定",TOEFL
confirm,"vt. 确定,批准,使巩固,使有效v. 确认",TOEFL
reform,"n. 改革,改正,感化vt. 改革,改过,重新组成,改善,革新vi. 革新,改过,重组",TOEFL
transform,"vt. 转换,改变,改造,使...变形vi. 改变,转化,变换",TOEFL
sarcasm,"n. 挖苦,讽刺",TOEFL
enthusiasm,"n. 狂热,热心",TOEFL
fanaticism,"n. 狂热,盲信",TOEFL
atheism,n. 无神论,TOEFL
fatalism,n. 宿命论,TOEFL
metabolism,"n. 新陈代谢,变形",TOEFL
organism,"n. 生物,有机体,社会组织",TOEFL
antagonism,"n. 反对,敌对,敌意",TOEFL
impressionism,"n. 印象主义,印象派,印象批评",TOEFL
altruism,"n. 利他主义,利他",TOEFL
cataclysm,"n. 大洪水,地震,(社会政治的)大变动",TOEFL
medium,"n. 媒体,方法,媒介adj. 半生熟的,中的n. 媒体,中",TOEFL
equilibrium,"n. 平衡,平静,均衡",TOEFL
auditorium,"n. 礼堂,会议厅,听众",TOEFL
optimum,n. 最适宜adj. 最适宜的,TOEFL
aluminum,n. 铝,TOEFL
decorum,"n. 端正,礼貌合宜,礼仪",TOEFL
sum,"n. 总数,和,金额,顶点,概略vt. 总计,概括vi. 合计",TOEFL
vacuum,"n. 真空,空间,真空吸尘器adj. 真空的,产生真空的,利用真空的vt. 用吸尘器打扫",TOEFL
ban,"n. 禁令vt. 禁止,取缔",TOEFL
urban,"adj. 都市的,住在都市的,习惯于都市的",TOEFL
scan,"n. 审视,浏览,细查,押韵,扫描vt. 细看,浏览,分析韵律,详细调查,扫描vi. 押韵,扫描",TOEFL
clean,"adj. 干净的,清白的,巧妙的ad. 清洁地,完全地vt. 清理,使干净,出空vi. 被搞干净",TOEFL
glean,"vt.vi. 拾落穗,收集",TOEFL
mean,"adj. 低劣的,卑贱的,卑鄙的,麻烦的,简陋的,吝啬的,惭愧的,中间的vt. 意谓,想要,意欲,预定vi. 用意,有意义n. 平均数,中间,中庸",TOEFL
slogan,"n. 呐喊声,标语,口号",TOEFL
civilian,"n. 平民,文官adj. 平民的,文官的,民间的",TOEFL
barbarian,n. 野蛮人adj. 野蛮的,TOEFL
agrarian,"adj. 有关土地的,耕地的",TOEFL
congressman,"n. 国会议员,众议院议员",TOEFL
human,"n. 人,人类adj. 人类的,人性的,有同情心的",TOEFL
loan,"n. 贷款,借出,债权人vt.vi. 借,供应货款,借给",TOEFL
veteran,"n. 老手,退伍军人,老兵,老树adj. 老兵的,老练的,经验丰富的",TOEFL
partisan,"n. 党羽,同党的人,游击队员adj. 党徒的,效忠的,献身的,盲目推崇的",TOEFL
cosmopolitan,"adj. 1  (无地方或国家偏见的) 世界主义的,四海为家的2 世界性的,国际的3[生物]分布于全世界的 (C) 四海为家的人,世界主义者,无国家偏见的人",TOEFL
broaden,"vi. 变宽,扩大vt. 放宽,使扩大",TOEFL
spleen,"n. 脾脏,坏脾气,怨恨",TOEFL
screen,"n. 屏,幕,银幕,屏风,筛子,屏蔽,掩蔽物vt. 掩蔽,放映,拍摄,甄别,筛,掩护vi. 拍电影",TOEFL
oxygen,n. 氧,TOEFL
strengthen,"vt. 加强,变坚固vi. 变强,股票上涨",TOEFL
alien,"n. 外侨adj. 外国的,相异的",TOEFL
ken,"n. 视野范围,知识范围,见地",TOEFL
unshaken,"adj. 坚决的,不动摇的,泰然自若的",TOEFL
slacken,"vt.使松弛,放松,放慢vi.变松驰,减弱,呆滞",TOEFL
sicken,"vt. 患病,使厌倦,使恶心vi. 生病,作呕",TOEFL
outspoken,"adj. 直言无讳的,坦率的,坦白无隐的",TOEFL
sullen,"adj. 愠怒的,沉沉不乐的,阴沉的",TOEFL
regimen,"n. 摄生,养生法,食物疗法",TOEFL
acumen,"n. 敏锐,聪明",TOEFL
dampen,"vt. 弄湿,使衰减vi. 变湿,丧气",TOEFL
sharpen,"vt. 使尖锐,使敏捷,加重,使剧烈vi. 尖锐化,变锋利",TOEFL
barren,"adj. 不育的,贫瘠的n. 荒地",TOEFL
threaten,"vt. 恐吓,威胁,预示...的凶兆vi. 威胁,恫吓,可能来临",TOEFL
enlighten,"vt. 授予...知识,启发,教导,开导",TOEFL
brighten,"vi. 变亮,活跃vt. 使生辉,事快活",TOEFL
hasten,"vt. 催促,促进vi. 赶快,急忙",TOEFL
moisten,vt. 弄湿vi. 变潮湿,TOEFL
rotten,"adj. 腐烂的,恶臭的,堕落的,无用的,虚弱的,风化的",TOEFL
haven,"n. 港口,避难所,安息所vt. 安置...于港中,庇护,入港",TOEFL
even,"adj. 平坦的,偶数的,相等的,均匀的,连贯的,均等的,公平的,荹玫?平静的,平均的vt. 使平坦,使相等,vi. 变平,相等ad. 甚至,荹?正当n. 偶数,偶校验",TOEFL
yen,"n. 日圆,瘾vi. 渴望",TOEFL
feign,"vt. 假装,装作vi. 作假",TOEFL
reign,"n. 执政,君主统治,统治,支配vi. 当政,统治,支配,占优势",TOEFL
malign,"adj. 有害的,恶性的,有恶意的vt. 诽谤,说坏话",TOEFL
benign,adj. 良性的,TOEFL
design,"n. 设计,图样,企图vt.vi. 设计,计划",TOEFL
disdain,"n. 轻蔑vt. 蔑视,鄙弃",TOEFL
brain,n. 脑vt. 打碎脑部,TOEFL
strain,"n. 紧张,拉紧,张力,过劳,扭伤,血统,血缘,种,族,气质,口吻,旋律,曲调vt. 使劳累,拉紧,过分使用,扭伤,滤,曲解vi. 尽力,努力,被滤出,弯曲,紧拉",TOEFL
restrain,"vt. 抑制,阻止,束缚",TOEFL
constrain,"vt. 强迫,勉强,驱使",TOEFL
obtain,"vt. 获得,达到vi. 流行",TOEFL
detain,"vt. 扣留,扣押,阻止",TOEFL
retain,"vt. 保持,保有,聘请,记得,留住",TOEFL
maintain,"vt. 维持,维修,保持,主张,供养,坚持",TOEFL
ascertain,"vt. 确定,探知",TOEFL
entertain,"vt. 娱乐,招待,怀抱vi. 款待",TOEFL
abstain,"vi. 自制,戒绝,弃权,避免",TOEFL
sustain,"vt. 承受,支持,支撑,供养,继续,忍受,准许,证实,蒙受",TOEFL
protein,n. 蛋白质adj. 蛋白质的,TOEFL
vein,"n. 血管,静脉,情绪,性情,纹理vt. 使成脉络,象脉络般分布于",TOEFL
margin,"n. 页边的空白,边缘,界限,余裕,保证金,差额vt. 加边于,加旁注于v. 页边距",TOEFL
dolphin,n. 海豚,TOEFL
coin,"n. 硬币,金钱,货币vt. 铸造,创造,杜撰",TOEFL
adjoin,"vt.vi. 邻接,毗连",TOEFL
sin,"n. 罪,犯罪,失礼,过失,犯法vt.vi. 犯",TOEFL
basin,"n. 盆地,盆",TOEFL
assassin,"n. 暗杀者,刺客",TOEFL
condemn,"vt. 判刑,责备,谴责,声讨,处刑",TOEFL
solemn,"adj. 严肃的,郑重的,庄严的",TOEFL
contemn,"vt. 侮辱,蔑视",TOEFL
carbon,"n. 碳,副本,复写纸",TOEFL
abandon,"vt. 放弃,沉溺n. 放任",TOEFL
dungeon,n. 地牢,TOEFL
religion,"n. 宗教,信仰",TOEFL
cushion,"n. 垫子,橡皮软垫vt. 加垫褥,缓冲,掩盖",TOEFL
rebellion,"n. 谋反,叛乱,反抗",TOEFL
dominion,"n. 领土,主权,统治",TOEFL
champion,"n. 冠军,拥护者,战士vt. 保卫,拥护adj. 优胜的",TOEFL
champion,"n. 冠军,拥护者,战士vt. 保卫,拥护adj. 优胜的",TOEFL
evasion,"n. 逃避,藉口",TOEFL
cohesion,"n. 结合,凝聚,内聚",TOEFL
provision,"n. 预备,准备,粮食,规定,供应,食物vt. 供给...食物及必需品",TOEFL
apprehension,"n. 理解,忧惧,逮捕",TOEFL
dimension,"n. 尺寸,次元,容积,维数vt. 表出尺寸",TOEFL
extension,"n. 延长,扩充,范围n. 扩展名",TOEFL
erosion,"n. 腐蚀,冲蚀,侵蚀",TOEFL
aspersion,"n. 洒水,诽谤,中伤",TOEFL
version,"n. 版本,翻译",TOEFL
aversion,"n. 厌恶,讨厌的事,讨厌的人",TOEFL
compassion,"(U)  (真诚的) 同情 (心) ,怜悯 [on,upon,for]",TOEFL
concession,"n. 特许,让步,认可",TOEFL
aggression,"n. 进攻,侵略",TOEFL
depression,"n. 不景气,消沉,沮丧,洼地",TOEFL
session,"n. 期间,开庭期,会议,学期",TOEFL
submission,"n. 屈服,服从,谦逊,意见,提交,递呈",TOEFL
commission,"n. 委任状,任官令,命令,佣金,代办,委托,犯法vt. 委任,委托制作,使服役",TOEFL
percussion,"n. 1 adj.  (常指两个坚硬物体的) 撞击,碰撞b. 震动; 音响2 [the ~; 集合称][音乐]打击乐器;  (乐队的) 打击乐器组3 (U) [又作 a ~] [医]叩诊 (法)",TOEFL
fusion,"n. 熔合物,结合,熔合",TOEFL
seclusion,"n. 隔离,孤立,隐退",TOEFL
exclusion,"n. 排除,除外,逐出",TOEFL
allusion,"n. 提及,暗示",TOEFL
illusion,"n. 幻影,错觉,幻想",TOEFL
application,"n. 应用,申请,志愿书n. 应用程序",TOEFL
vocation,"n. 天命,天职,职业,行业,才能",TOEFL
invocation,"n. 祈祷,符咒",TOEFL
trepidation,"n. 恐惧,惊惶,忧虑",TOEFL
recreation,"n. 娱乐,消遣,休养",TOEFL
navigation,"n. 航行,航海,导航",TOEFL
association,n. 协会,TOEFL
reconciliation,"(U)  [又作 a ~] 和解; 调停; 和谐,一致 [with,between]",TOEFL
variation,"n. 变更,变化,变种,变奏",TOEFL
elation,"n. 得意洋洋,兴高采烈",TOEFL
revelation,"n. 揭露,泄露,启示,展示",TOEFL
inflation,"n. 胀大,夸张,通货膨胀",TOEFL
ventilation,"n. 通风,空气流通,公开讨论",TOEFL
constellation,"n. 星座,灿烂的一群",TOEFL
distillation,n. 蒸馏,TOEFL
violation,"n. 违反,违背,妨碍",TOEFL
circulation,"n. 流通,循环,发行量",TOEFL
combination,"n. 组合,合并,联合n. 组合图",TOEFL
discrimination,"n. 差别,岐视,辨别力",TOEFL
culmination,"n. 顶点,极点,最高点",TOEFL
determination,"n. 决心,果断",TOEFL
destination,"n. 目的地n. 目的文件,目的单元",TOEFL
ration,"n. 定额,定量,配给vt. 配给,定量供应",TOEFL
vibration,"n. 振动,颤动",TOEFL
cooperation,"n. 合作,协力,合作社",TOEFL
aspiration,"n. 热望,渴望",TOEFL
respiration,"n. 呼吸,一口气,呼吸作用",TOEFL
oration,"n. 演说,致辞,叙述法",TOEFL
arbitration,"n. 仲裁,公断",TOEFL
administration,"n. 行政,管理,中央政府",TOEFL
compensation,"n. 补偿,赔偿金,薪资",TOEFL
accusation,"n. 控告,指控,非难",TOEFL
fermentation,"(U) 1 发酵 (作用) 2 骚动,人心的动摇,激动",TOEFL
adaptation,"n. 改编,适应,改编成的作品",TOEFL
mutation,"n. 变化,转变,元音变化",TOEFL
equation,"n. 相等,等式,平衡",TOEFL
cultivation,"n. 教化,培养,耕作",TOEFL
motivation,"n. 动机,刺激,推动",TOEFL
innovation,"n. 改革,创新",TOEFL
observation,"n. 观察,注目,观测",TOEFL
action,"n. 动作,作用,诉讼,行为,战斗控告",TOEFL
fraction,"n. 分数,小部分,破片",TOEFL
abstraction,"n. 抽象化,心不在焉,提炼,抽象派作品",TOEFL
transaction,"n. 交易,办理,执行,和解,学报,报告书",TOEFL
defection,"n. 背叛,脱党,离会",TOEFL
affection,"n. 爱,情感,影响,病",TOEFL
subjection,"n. 征服,服从,隶属",TOEFL
election,"n. 选举,当选,选择权",TOEFL
selection,"n. 选择,选文,选品",TOEFL
reflection,"n. 反映,沉思,映像,责难,想法,思考",TOEFL
recollection,"n. 记忆,回想,回忆",TOEFL
jurisdiction,"n. 司法权,审判权,管辖权",TOEFL
fiction,"n. 小说,虚构的故事,法律的拟制",TOEFL
friction,"n. 摩擦,医疗摩擦,不和",TOEFL
extinction,"n. 消失,消灭,废止",TOEFL
junction,"n. 连接,会合处,交叉点",TOEFL
reproduction,"n. 再现,复制,复制品,繁殖,生殖",TOEFL
secretion,"n. 分泌,分泌物,分泌液",TOEFL
discretion,"n. 慎重,辨别力,考虑,处理权",TOEFL
expedition,"n. 远征,探险队,迅速",TOEFL
condition,"n. 情况,条件vt. 以...为条件,决定,支配,使适应",TOEFL
audition,"n. 听,听力,试听",TOEFL
recognition,"n. 赞誉,认得,承认,重视,认识,认可",TOEFL
attrition,"n. 摩擦,磨损",TOEFL
transition,"n. 转变,转换,变调,过渡时期,跃迁",TOEFL
disposition,"n. 性情,处置,处理,布置",TOEFL
petition,"n. 请愿,诉状,陈情书vt.vi. 请求,恳求,请愿",TOEFL
superstition,n. 迷信,TOEFL
intuition,"n. 直觉,直觉的知识",TOEFL
mention,"n. 提到,言及,陈述vt. 提到,提及",TOEFL
convention,"n. 大会,协定,惯例n. 约定",TOEFL
motion,"n. 移动,手势,动作,提议,请求vt.vi. 打手势",TOEFL
devotion,"n. 热爱,投入",TOEFL
reception,"n. 接待,欢迎,接收力,招待会,接受",TOEFL
exception,"n. 例外,除外,异议",TOEFL
presumption,"n. 专横,放肆,可能性,推测,假定",TOEFL
assumption,"n. 假定,假装,视为当然之事",TOEFL
option,"n. 选择权,挑选n. 选项",TOEFL
portion,"n. 部分,一份,命运,嫁妆vt. 将...分配,分配,给...嫁妆",TOEFL
proportion,"n. 比例,比率,均衡,大小,面积,部分vt. 使成比例,使均衡,分摊",TOEFL
oblivion,"n. 遗忘,忘却,赦免,大赦,湮没",TOEFL
summon,"vt. 召唤,召集,号召,鼓起,唤起",TOEFL
sermon,"n. 说教,训诫,布道",TOEFL
boon,n. 恩惠,TOEFL
moron,"n. 低能者,笨人",TOEFL
reason,"n. 理由,原因,理智,理性,前提,道理vt. 说服,推论,辩论vi. 推论,劝说,思考",TOEFL
treason,(U)  (对国家、君主) 叛逆 (罪),TOEFL
liaison,n. 联络,TOEFL
yearn,"vi. 渴望,想念,怀念",TOEFL
warn,"vt. 警告,注意,通知vi. 发出警告",TOEFL
discern,"vt.vi. 辨别,看清楚",TOEFL
cavern,"n. 巨穴,洞窟vt. 放于山洞中,挖空",TOEFL
govern,"vt.vi. 统治,支配,管理",TOEFL
stubborn,"adj. 顽固的,不听话的,执拗的,棘手的",TOEFL
inborn,"adj. 天生的,生来的,生成的",TOEFL
forlorn,"adj. 孤独的,悲惨的,凄凉的",TOEFL
adjourn,"vi. 延期,休会,换地方vt. 使中止",TOEFL
sojourn,"n. 逗留,旅居vi. 逗留,旅居",TOEFL
shun,"vt. 避开,规避,避免",TOEFL
stun,"vt. 使晕倒,使惊吓,打晕n. 晕眩,猛击",TOEFL
lawn,"n. 草地,草坪,薄麻布",TOEFL
spawn,"n. 卵,鱼卵vt. 产卵,酿成vi. 产卵",TOEFL
breakdown,"n. 崩溃,故障",TOEFL
frown,n. 皱眉vi. 皱眉头vt. 皱眉表示,TOEFL
undo,"vt. 解开,打开,取消,扰乱,毁灭,破坏vi. 松开v. 撤消",TOEFL
ratio,"n. 比,比率",TOEFL
volcano,n. 火山,TOEFL
taboo,"n. 禁忌,禁止接近,禁止使用adj. 禁忌的,忌讳的vt. 禁忌,禁制,禁止",TOEFL
veto,"n. 否决权vt. 否决,禁止",TOEFL
handicap,"n. 障碍,困难vt. 加障碍于,妨碍",TOEFL
gap,"n. 缝隙,缺口,间断vt. 打开缺口,造成缝隙vi. 豁开n. 间距n. 通用汇编程序",TOEFL
mishap,"n. 不幸之事,灾祸,恶运",TOEFL
slap,"n. 掴,侮辱,拍击声vt.vi. 拍击,侮辱ad. 正面地,直接地,突然地",TOEFL
kidnap,"vt. 绑架,诱拐,拐骗",TOEFL
snap,"vt. 咬断,猛咬,争夺,拉断,使有啪啪声,用快照拍摄vi. 咬,扑,抓,折断,砰然关上,厉声说,劈啪地响n. 猛咬,猛扑,劈啪声,申斥,谩骂,快照,揿钮,少量,活力adj. 突然的,装搭扣的,",TOEFL
rap,"n. 轻敲,拍击,责骂,无价值的东西vt. 轻敲,厉声说出,使着迷,抢走,叱责vi. 敲击,发敲击声,交谈,理解",TOEFL
scrap,"n.碎片,残余物,些微,吵架,铁屑,片断vt. 扔弃,敲碎,拆毁vi. 互相殴打adj. 零碎的,废弃的",TOEFL
trap,"n. 圈套,陷阱,诡计,存水弯vi. 设圈套,设陷阱vt. 诱捕,诱骗,抓住,使受限制",TOEFL
entrap,"vt. 骗入,诱捕,使陷入",TOEFL
strap,"n. 带,皮带vt. 用皮带捆扎",TOEFL
spaceship,n. 太空船,TOEFL
scholarship,"n. 学问,学术成就,奖学金",TOEFL
heirship,(U) 继承人之地位[权利],TOEFL
clip,"n. 修剪,夹,回形针,剪下来的东西vt. 修剪,痛打,夹牢,剪辑vi. 剪报,",TOEFL
flip,"vt. 掷,弹,轻击,空翻vi. 用指轻弹,抽打,蹦跳n. 抛,弹,筋斗",TOEFL
grip,"n. 紧握,柄,手提包,控制,支配,掌握vt. 抓紧,抱住,吸住,控制,支配,掌握vi. 握牢",TOEFL
strip,"n. 长条,条状,带,脱衣舞vt. 脱衣,被剥去,剥夺,拆卸vi. 脱衣服",TOEFL
gossip,"n. 闲聊,随笔,流言,爱讲闲话的人vi. 说闲话,闲聊",TOEFL
tip,"n. 顶,尖端,梢,末端,倾斜,垃圾场,小费,秘密消息vt. 装顶端,使倾斜,使翻倒,给,泄露,告诫,轻击vi. 倾斜,翻倒,给小费,踮脚走,倾覆n. 提示,技巧",TOEFL
yelp,"n. 叫吠,叫喊声vi. 叫吠,叫喊vt. 叫喊着说",TOEFL
